"ds","y"
2017-10-10,85
2017-10-11,69
2017-10-12,65
2017-10-13,64
2017-10-14,65
2017-10-15,31
2017-10-16,78
2017-10-17,57
2017-10-18,60
2017-10-19,64
2017-10-20,70
2017-10-21,60
2017-10-22,6
2017-10-23,73
2017-10-24,65
2017-10-25,65
2017-10-26,73
2017-10-27,67
2017-10-28,62
2017-10-29,31
2017-10-30,82
2017-10-31,63
2017-11-01,72
2017-11-02,80
2017-11-03,56
2017-11-04,65
2017-11-05,23
2017-11-06,79
2017-11-07,66
2017-11-08,59
2017-11-09,70
2017-11-10,78
2017-11-11,88
2017-11-12,22
2017-11-13,45
2017-11-14,69
2017-11-15,60
2017-11-16,68
2017-11-17,70
2017-11-18,51
2017-11-19,25
2017-11-20,77
2017-11-21,64
2017-11-22,66
2017-11-23,66
2017-11-24,60
2017-11-25,43
2017-11-26,18
